REC001,Empresa Alfa Tecnologia SA,8500.00,2026-04-05,Serviço de refeições corporativas - abril
REC002,Grupo Beta Industria LTDA,12300.00,2026-04-08,Fornecimento de marmitex - semana 1 e 2
REC003,Construtora Gama ME,3750.00,2026-04-10,Refeições obra central - quinzena 1
REC004,Delta Logistica LTDA,6200.00,2026-04-15,Coffee break e almoço eventos corporativos
REC005,Epsilon Comercio SA,9800.00,2026-04-18,Contrato mensal refeições 200 colaboradores
REC006,Zeta Servicos LTDA,4100.00,2026-04-22,Bufê executivo - reuniões abril
REC007,Eta Distribuidora ME,INVALIDO,2026-04-25,Linha com valor inválido para teste
REC008,Theta Consultoria SA,5600.00,DATA-INVALIDA,Linha com data inválida para teste
REC009,Iota Saude LTDA,7250.00,2026-04-28,Refeições hospital - plantão noturno
REC010,Kappa Educacao SA,3900.00,2026-04-30,Lanche e almoço escolar - turno integral
